"ID","StudentID","Date","MealID","MessID","IsManualAttendance","ManualAttendanceLogID","CreatedTime"
"575962","4907","2025-01-30 19:00:34","3","30","0","0","2025-01-30 21:08:46"
"575961","5036","2025-01-30 19:00:24","3","30","0","0","2025-01-30 21:08:46"
"575960","5183","2025-01-30 18:59:18","3","30","0","0","2025-01-30 21:08:45"
"575959","4538","2025-01-30 18:59:14","3","30","0","0","2025-01-30 21:08:44"
"575958","4539","2025-01-30 18:59:09","3","30","0","0","2025-01-30 21:08:43"
"575957","4748","2025-01-30 18:58:40","3","30","0","0","2025-01-30 21:08:43"
"575956","5052","2025-01-30 18:58:24","3","30","0","0","2025-01-30 21:08:42"
"575955","5165","2025-01-30 18:58:20","3","30","0","0","2025-01-30 21:08:41"
"575954","4808","2025-01-30 18:57:30","3","30","0","0","2025-01-30 21:08:40"
"575953","5089","2025-01-30 18:57:24","3","30","0","0","2025-01-30 21:08:39"
"575952","4949","2025-01-30 18:57:20","3","30","0","0","2025-01-30 21:08:38"
"575951","4872","2025-01-30 18:57:15","3","30","0","0","2025-01-30 21:08:37"
"575950","4588","2025-01-30 18:57:11","3","30","0","0","2025-01-30 21:08:36"
"575949","4567","2025-01-30 18:57:02","3","30","0","0","2025-01-30 21:08:36"
"575948","4565","2025-01-30 18:56:57","3","30","0","0","2025-01-30 21:08:35"
"575947","4602","2025-01-30 18:56:51","3","30","0","0","2025-01-30 21:08:34"
"575946","4678","2025-01-30 18:56:47","3","30","0","0","2025-01-30 21:08:34"
"575945","4630","2025-01-30 18:55:37","3","30","0","0","2025-01-30 21:08:33"
"575944","4812","2025-01-30 18:54:13","3","30","0","0","2025-01-30 21:08:32"
"575943","4968","2025-01-30 18:54:07","3","30","0","0","2025-01-30 21:08:31"
"575942","5182","2025-01-30 18:51:57","3","30","0","0","2025-01-30 21:08:31"
"575941","4610","2025-01-30 18:51:49","3","30","0","0","2025-01-30 21:08:30"
"575940","5063","2025-01-30 18:51:20","3","30","0","0","2025-01-30 21:08:29"
"575939","4603","2025-01-30 18:49:44","3","30","0","0","2025-01-30 21:08:28"
"575938","5232","2025-01-30 18:49:31","3","30","0","0","2025-01-30 21:08:28"
"575937","5312","2025-01-30 18:49:27","3","30","0","0","2025-01-30 21:08:27"
"575936","5270","2025-01-30 18:49:23","3","30","0","0","2025-01-30 21:08:26"
"575935","5062","2025-01-30 18:48:48","3","30","0","0","2025-01-30 21:08:25"
"575934","5107","2025-01-30 18:48:43","3","30","0","0","2025-01-30 21:08:25"
"575933","4787","2025-01-30 18:48:20","3","30","0","0","2025-01-30 21:08:24"
"575932","4551","2025-01-30 18:48:10","3","30","0","0","2025-01-30 21:08:23"
"575931","4659","2025-01-30 18:46:42","3","30","0","0","2025-01-30 21:08:22"
"575930","4712","2025-01-30 18:46:29","3","30","0","0","2025-01-30 21:08:22"
"575929","4755","2025-01-30 18:46:23","3","30","0","0","2025-01-30 21:08:21"
"575928","4467","2025-01-30 18:46:19","3","30","0","0","2025-01-30 21:08:20"
"575927","4448","2025-01-30 18:45:52","3","30","0","0","2025-01-30 21:08:19"
"575926","4891","2025-01-30 18:45:39","3","30","0","0","2025-01-30 21:08:19"
"575925","4725","2025-01-30 18:45:35","3","30","0","0","2025-01-30 21:08:18"
"575924","4786","2025-01-30 18:43:39","3","30","0","0","2025-01-30 21:08:16"
"575923","5245","2025-01-30 18:43:25","3","30","0","0","2025-01-30 21:08:15"
"575922","5105","2025-01-30 18:43:19","3","30","0","0","2025-01-30 21:08:14"
"575921","4446","2025-01-30 18:42:40","3","30","0","0","2025-01-30 21:08:14"
"575920","4465","2025-01-30 18:42:33","3","30","0","0","2025-01-30 21:08:13"
"575919","4447","2025-01-30 18:40:25","3","30","0","0","2025-01-30 21:08:12"
"575918","4694","2025-01-30 18:40:05","3","30","0","0","2025-01-30 21:08:11"
"575917","4790","2025-01-30 18:39:45","3","30","0","0","2025-01-30 21:08:10"
"575916","4501","2025-01-30 18:38:57","3","30","0","0","2025-01-30 21:08:08"
"575915","4826","2025-01-30 18:38:50","3","30","0","0","2025-01-30 21:08:07"
"575914","4889","2025-01-30 18:38:43","3","30","0","0","2025-01-30 21:08:07"
"575913","4759","2025-01-30 18:36:53","3","30","0","0","2025-01-30 21:08:06"
"575912","4758","2025-01-30 18:36:49","3","30","0","0","2025-01-30 21:08:05"
"575911","4612","2025-01-30 18:36:44","3","30","0","0","2025-01-30 21:08:04"
"575910","5217","2025-01-30 18:36:04","3","30","0","0","2025-01-30 21:08:04"
"575909","4632","2025-01-30 18:35:53","3","30","0","0","2025-01-30 21:08:03"
"575908","4927","2025-01-30 18:35:42","3","30","0","0","2025-01-30 21:08:02"
"575907","4908","2025-01-30 18:35:38","3","30","0","0","2025-01-30 21:08:01"
"575906","4911","2025-01-30 18:35:33","3","30","0","0","2025-01-30 21:08:01"
"575905","4906","2025-01-30 18:35:29","3","30","0","0","2025-01-30 21:08:00"
"575904","4834","2025-01-30 18:34:23","3","30","0","0","2025-01-30 21:07:58"
"575903","4902","2025-01-30 18:34:18","3","30","0","0","2025-01-30 21:07:58"
"575902","4645","2025-01-30 18:33:51","3","30","0","0","2025-01-30 21:07:57"
"575901","4913","2025-01-30 18:32:42","3","30","0","0","2025-01-30 21:07:56"
"575900","4655","2025-01-30 18:32:23","3","30","0","0","2025-01-30 21:07:55"
"575899","4463","2025-01-30 18:32:17","3","30","0","0","2025-01-30 21:07:54"
"575898","5002","2025-01-30 18:32:07","3","30","0","0","2025-01-30 21:07:53"
"575897","4635","2025-01-30 18:31:40","3","30","0","0","2025-01-30 21:07:50"
"575896","5062","2025-01-30 13:54:47","2","30","0","0","2025-01-30 21:07:48"
"575895","5254","2025-01-30 13:42:22","2","30","0","0","2025-01-30 21:07:48"
"575894","4717","2025-01-30 13:42:16","2","30","0","0","2025-01-30 21:07:47"
"575893","4714","2025-01-30 13:42:08","2","30","0","0","2025-01-30 21:07:46"
"575892","4642","2025-01-30 13:39:17","2","30","0","0","2025-01-30 21:07:45"
"575891","4893","2025-01-30 13:38:33","2","30","0","0","2025-01-30 21:07:45"
"575890","4994","2025-01-30 13:38:20","2","30","0","0","2025-01-30 21:07:44"
"575889","5255","2025-01-30 13:38:12","2","30","0","0","2025-01-30 21:07:43"
"575888","5082","2025-01-30 13:28:57","2","30","0","0","2025-01-30 21:07:42"
"575887","4708","2025-01-30 13:28:56","2","30","0","0","2025-01-30 21:07:42"
"575886","4713","2025-01-30 13:26:52","2","30","0","0","2025-01-30 21:07:41"
"575885","4716","2025-01-30 13:26:48","2","30","0","0","2025-01-30 21:07:40"
"575884","5074","2025-01-30 13:15:15","2","30","0","0","2025-01-30 21:07:38"
"575883","4925","2025-01-30 13:15:05","2","30","0","0","2025-01-30 21:07:38"
"575882","5110","2025-01-30 13:13:31","2","30","0","0","2025-01-30 21:07:37"
"575881","4797","2025-01-30 13:13:26","2","30","0","0","2025-01-30 21:07:36"
"575880","5108","2025-01-30 13:13:23","2","30","0","0","2025-01-30 21:07:35"
"575879","4479","2025-01-30 13:13:03","2","30","0","0","2025-01-30 21:07:35"
"575878","4478","2025-01-30 13:12:59","2","30","0","0","2025-01-30 21:07:34"
"575877","4535","2025-01-30 13:12:57","2","30","0","0","2025-01-30 21:07:33"
"575876","5225","2025-01-30 13:05:14","2","30","0","0","2025-01-30 21:07:32"
"575875","5312","2025-01-30 12:59:23","2","30","0","0","2025-01-30 21:07:31"
"575874","4901","2025-01-30 12:59:19","2","30","0","0","2025-01-30 21:07:30"
"575873","4586","2025-01-30 12:58:26","2","30","0","0","2025-01-30 21:07:29"
"575872","5304","2025-01-30 12:57:59","2","30","0","0","2025-01-30 21:07:29"
"575871","5222","2025-01-30 12:57:27","2","30","0","0","2025-01-30 21:07:28"
"575870","5215","2025-01-30 12:57:23","2","30","0","0","2025-01-30 21:07:27"
"575869","5221","2025-01-30 12:57:21","2","30","0","0","2025-01-30 21:07:26"
"575868","5218","2025-01-30 12:57:19","2","30","0","0","2025-01-30 21:07:26"
"575867","4742","2025-01-30 12:56:57","2","30","0","0","2025-01-30 21:07:25"
"575866","5224","2025-01-30 12:56:11","2","30","0","0","2025-01-30 21:07:24"
"575865","4657","2025-01-30 12:55:23","2","30","0","0","2025-01-30 21:07:23"
"575864","4680","2025-01-30 12:55:17","2","30","0","0","2025-01-30 21:07:23"
"575863","4667","2025-01-30 12:55:10","2","30","0","0","2025-01-30 21:07:22"
"575862","5166","2025-01-30 12:53:50","2","30","0","0","2025-01-30 21:07:20"
"575861","5210","2025-01-30 12:53:06","2","30","0","0","2025-01-30 21:07:20"
"575860","5088","2025-01-30 12:52:32","2","30","0","0","2025-01-30 21:07:19"
"575859","5125","2025-01-30 12:52:27","2","30","0","0","2025-01-30 21:07:18"
"575858","5273","2025-01-30 12:51:09","2","30","0","0","2025-01-30 21:07:17"
"575857","4996","2025-01-30 12:51:05","2","30","0","0","2025-01-30 21:07:17"
"575856","4677","2025-01-30 12:50:08","2","30","0","0","2025-01-30 21:07:16"
"575855","5040","2025-01-30 12:49:53","2","30","0","0","2025-01-30 21:07:15"
